거래 유형,전표 번호,계정과목,Debit(차),Credit(대),설명
① 정상 매출확정,1-1,미지급금(고객환불) 1050,0,0,환불액 기록 (미지급금)
① 정상 매출확정,1-2,매출 4010,"100,000","100,000",정상 매출인식
① 정상 매출확정,1-3,부가세예수금 1060,0,"10,000",부가세 환급 권리 발생
① 정상 매출확정,1-4,부가세납부금 2040,0,"10,000",부가세 납부금 감소
② 정상반품 환입,2-1,매출환입 4020,"100,000","100,000",반품으로 인한 매출 차감
② 정상반품 환입,2-2,미지급금(고객환불) 1050,0,"110,000",환불액 기록
② 정상반품 환입,2-3,부가세예수금 1060,"10,000","10,000",부가세 환급
② 정상반품 환입,2-4,상품 1020,"80,000",0,반품 상품 재고 복구
② 정상반품 환입,2-5,매출원가 5010,"80,000",0,반품 상품 원가 복구
② 정상반품 환입,2-6,반품운송료 6020,"5,000",0,반품 배송료(회사부담)
② 정상반품 환입,2-7,부가세납부금 2040,0,"10,000",부가세 납부금 감소
③④ 하자반품 환입(폐기),3-1,매출환입 4020,"100,000","100,000",반품으로 인한 매출 차감
③④ 하자반품 환입(폐기),3-2,미지급금(고객환불) 1050,0,"110,000",환불액 기록
③④ 하자반품 환입(폐기),3-3,부가세예수금 1060,"10,000","10,000",부가세 환급
③④ 하자반품 환입(폐기),3-4,재고평가손실 6010,"80,000",0,폐기 상품 손실(원가 기준)
③④ 하자반품 환입(폐기),3-5,매출원가 5010,"80,000",0,폐기된 상품 원가 제거
④ 하자반품 환입(재고복구),4-1,매출환입 4020,"100,000","100,000",반품으로 인한 매출 차감
④ 하자반품 환입(재고복구),4-2,미지급금(고객환불) 1050,0,"110,000",환불액 기록
④ 하자반품 환입(재고복구),4-3,부가세예수금 1060,"10,000","10,000",부가세 환급
④ 하자반품 환입(재고복구),4-4,상품(평가절하) 1030,"50,000",0,평가절하된 상품 재고 증가(50%)
④ 하자반품 환입(재고복구),4-5,매출원가 5010,"80,000",0,반품 상품 원가 복구(평가절하)
④ 하자반품 환입(재고복구),4-6,재고평가손실 6010,"30,000",0,손실(폐기된 부분) 80-50=30
⑤ 반품거부,5-1,미지급금(고객환불) 1050,0,"100,000",반품 거부로 환불 취소(미지급금 역)
⑤ 반품거부,5-2,매출 4010,"100,000","100,000",반품거부 시 매출 유지
⑥ 교환(기존 취소),6-1,매출환입 4020,"100,000","100,000",기존 주문 매출 환입
⑥ 교환(기존 취소),6-2,미지급금(고객환불) 1050,0,"100,000",기존 주문 환불액 기록
⑥ 교환(신규 생성),6-3,미지급금 2030,0,"100,000",신규 주문 매출 인식
⑥ 교환(신규 생성),6-4,매출 4010,0,"100,000",신규 주문 환불액 기록
⑥ 교환(재고 교체),6-5,상품 1020,"80,000",0,기존 상품 반품(원가로 출고)
⑥ 교환(재고 교체),6-6,매출원가 5010,"80,000",0,기존 상품 원가 제거
⑥ 교환(재고 교체),6-7,매출원가(반품) 5020,"80,000",0,신규 상품 입고(원가)
⑥ 교환(재고 교체),6-8,상품 1020,"80,000",0,신규 상품 원가 인식
